吉林省,通化市,集安市,建设街道,3
辽宁省,沈阳市,辽中县,辽中镇,3
山东省,德州市,陵县,麋镇,3
山东省,青岛市,市南区,台西街道,3
山东省,青岛市,胶州市,马店镇,3
山东省,临沂市,沂南县,葛沟镇,3
江苏省,无锡市,北塘区,山北街道,3
江苏省,无锡市,北塘区,惠山街道,3
浙江省,杭州市,临安市,新桥乡,3
浙江省,衢州市,常山县,宋畈乡,3
浙江省,丽水市,青田县,岭根乡,3
广东省,广州市,萝岗区,联和街道,3
广东省,广州市,萝岗区,永和街道,3
海南省,省直辖县级行政单位,陵水黎族自治县,本号镇,3
海南省,省直辖县级行政单位,陵水黎族自治县,提蒙乡,3
海南省,省直辖县级行政单位,乐东黎族自治县,黄流镇,3
贵州省,黔西南布依族苗族自治州,望谟县,复兴镇,3
四川省,广元市,利州区,马营镇,3
西藏自治区,拉萨市,城关区,冲赛康街道,3
云南省,昆明市,晋宁县,新街镇,3
云南省,昆明市,晋宁县,宝峰镇,3
云南省,昆明市,安宁市,青龙镇,3
重庆,重庆市,潼南县,太安镇,3
重庆,重庆市,铜梁县,双山乡,3
安徽省,蚌埠市,禹会区,钓鱼台街道,3
安徽省,铜陵市,狮子山区,新庙街道,3
安徽省,铜陵市,铜陵县,五松镇,3
安徽省,铜陵市,铜陵县,顺安镇,3
河南省,新乡市,原阳县,城关镇,3
河南省,开封市,开封县,城关镇,3
河南省,洛阳市,新安县,城关镇,3
湖南省,岳阳市,岳阳县,城关镇,3
湖南省,常德市,临澧县,临澧经济开发区,3
